Key,Value,,,,,,
template_id,811663ED-D86D-4752-B41C-69745D493BC3,,,,,,
template_name,Matrix Walkthrough Assessment,,,,,,
audit_id,568F7339-7466-4BD2-903A-C8954378AF82,,,,,,
audit_started,1352684442,,,,,,
audit_completed,-1,,,,,,
audit_duration,-1,,,,,,
audit_title,Taco Bell,,,,,,
audit_client,,,,,,,
audit_preparedby,Ibn Jamal,,,,,,
audit_location,,,,,,,
audit_latitude,,,,,,,
audit_longitude,,,,,,,
audit_personnel,,,,,,,
audit_score,66,,,,,,
audit_total,66,,,,,,
audit_percentage,100,,,,,,
ID,Type,Label,Options,Parent,Primary,Secondary,Media
D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,section,Information,,,,,
81D75645-13D6-4B59-96BF-4CE0031B70DF,category,Business Info,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,,,
f3245d40-ea77-11e1-aff1-0800200c9a66,textsingle,Business Name,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,Taco Bell,,
E647F6F7-5767-41D2-B5B0-CF74946DDC96,datetime,Conducted on,1;1,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,,,
f3245d43-ea77-11e1-aff1-0800200c9a66,textsingle,Prepared by,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,Ibn Jamal,,
55555051-C4E2-42D1-97F1-DAEF2887A3F2,textsingle,Pepco Account Number,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,95888593773,,
0B981B42-662B-4F72-BE7D-2E631A7C92D2,category,Contact Info,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,,,
A0B329C2-8F11-419A-9E77-CA82AA4C486E,textsingle,Name,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,Ala Arab,,
F3CABCCC-5203-4E01-A213-08B816C8A251,textsingle,Title,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,Owner,,
D9562E5F-1F08-4FBC-ACE7-64EA725C0B9D,textsingle,Phone,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,9167194893,,
B6F3CED0-9458-4933-A93C-ED668503E78D,textsingle,E-mail,,D8452621-1D3C-49AB-8AF2-4EFD6EEC8EED,aarab@ucsd.edu,,
E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,section,Audit,,,,,
2E622EF9-A158-4CBE-9427-7DD1000A1027,category,Facility Info,,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,,,
FC1A090F-5E2D-4177-BF27-C0AFFED762EB,textsingle,Name on Utility Bill,,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,Owner McGills,,
0541F4E4-7450-4D04-A3CE-33B045DD2038,list,Business Type (General),Yes;1,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,FD65F8B7-2B13-4453-B5FE-E06A1CE4927D|Large Commercial,,
4A22DB8F-C46B-46FF-A4DD-390EB9772E4D,list,Business Type (Specific),Yes;1,B026FD7C-B8DA-4034-A46E-AAC262B9D841,CDBA81A8-FC45-4A4C-8414-8E42C1EE7E76|General retail,,
9C847ADD-1AEF-4593-B329-9C6C6FC6C9A1,textsingle,Address and Suite No.,,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,5155 Jardin Lane,,
E691588C-B85E-4ABA-B74D-B711508EAD4D,textsingle,City,,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,Carmichael,,
31F4C57D-9631-41A0-BF5C-F17162106433,textsingle,Zip,,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,95864,,
46EFF7BD-B84A-4AC4-8D9A-0CFA251570CB,list,Age of building,Yes;1,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,83258E6E-009C-4DF1-96CB-D192C79F5E3D|10,,
95B95F75-7AAA-4962-8330-4B4DEF599E83,list,Facility Sqft.,Yes;1,E9F9E4A8-906C-4183-85FE-7CE9BA765D8E,2AB12CFB-5909-4036-9DBB-E4BA3059E87E|2500-3000,,
